step,train_loss,val_loss,train_bpc,val_bpc,seconds
1,4.562071,4.243699,6.5817,6.1224,2.9
500,2.396985,2.604726,3.4581,3.7578,20.4
1000,2.124489,2.332887,3.0650,3.3656,38.0
1500,1.881396,2.151991,2.7143,3.1047,55.8
2000,1.737444,2.062503,2.5066,2.9756,73.6
2500,1.687617,2.023146,2.4347,2.9188,91.3
3000,1.551574,1.983861,2.2384,2.8621,109.0
3500,1.548233,1.949903,2.2336,2.8131,126.7
4000,1.469276,1.927927,2.1197,2.7814,144.4
4500,1.479401,1.914048,2.1343,2.7614,162.0
5000,1.455901,1.905273,2.1004,2.7487,180.1
5500,1.447140,1.895398,2.0878,2.7345,198.8
6000,1.399793,1.895568,2.0195,2.7347,217.1
6500,1.365821,1.889964,1.9705,2.7266,234.7
7000,1.345824,1.875117,1.9416,2.7052,252.5
7500,1.308693,1.881400,1.8880,2.7143,270.1
8000,1.343248,1.878498,1.9379,2.7101,288.5
8500,1.330326,1.833591,1.9193,2.6453,307.1
9000,1.354432,1.830715,1.9540,2.6412,325.3
9500,1.316748,1.844151,1.8997,2.6605,343.6
10000,1.329479,1.851005,1.9180,2.6704,362.5
10500,1.286377,1.838898,1.8558,2.6530,381.9
11000,1.256557,1.823799,1.8128,2.6312,401.8
11500,1.276622,1.827446,1.8418,2.6364,423.8
12000,1.270866,1.825421,1.8335,2.6335,447.1
12500,1.200149,1.846106,1.7314,2.6634,471.2
13000,1.250335,1.823851,1.8039,2.6313,494.3
13500,1.229968,1.826346,1.7745,2.6349,517.4
14000,1.206693,1.831395,1.7409,2.6421,539.2
14500,1.283194,1.816114,1.8513,2.6201,560.2
15000,1.210482,1.822448,1.7464,2.6292,580.8
15500,1.216678,1.822346,1.7553,2.6291,601.2
16000,1.230750,1.838764,1.7756,2.6528,620.0
16500,1.194257,1.835748,1.7229,2.6484,639.2
17000,1.233341,1.822126,1.7793,2.6288,658.6
17500,1.181286,1.825475,1.7042,2.6336,677.2
18000,1.199463,1.840279,1.7305,2.6550,695.4
18500,1.234954,1.824747,1.7817,2.6326,713.7
19000,1.186021,1.822065,1.7111,2.6287,731.9
19500,1.188915,1.844232,1.7152,2.6607,751.2
20000,1.169975,1.843811,1.6879,2.6601,770.2
