step,lr,train_loss,val_loss,train_bpc,val_bpc,seconds
1,0.000000,4.562071,4.561751,6.5817,6.5812,0.7
500,0.000299,2.470512,2.661508,3.5642,3.8397,18.0
1000,0.000300,2.216434,2.410752,3.1976,3.4780,35.6
1500,0.000298,1.937583,2.180420,2.7953,3.1457,53.5
2000,0.000296,1.760261,2.067955,2.5395,2.9834,71.2
2500,0.000293,1.673135,2.004968,2.4138,2.8926,88.9
3000,0.000288,1.552904,1.989542,2.2404,2.8703,106.5
3500,0.000283,1.545278,1.971158,2.2294,2.8438,124.1
4000,0.000278,1.471712,1.933477,2.1232,2.7894,141.5
4500,0.000271,1.469688,1.937991,2.1203,2.7959,159.0
5000,0.000264,1.447395,1.931948,2.0881,2.7872,180.2
5500,0.000255,1.447250,1.913852,2.0879,2.7611,197.7
6000,0.000247,1.384938,1.899621,1.9980,2.7406,215.2
6500,0.000237,1.357890,1.893134,1.9590,2.7312,232.9
7000,0.000228,1.341630,1.891103,1.9356,2.7283,250.9
7500,0.000217,1.302248,1.892272,1.8787,2.7300,269.0
8000,0.000206,1.344384,1.876869,1.9395,2.7077,288.5
8500,0.000195,1.325595,1.857900,1.9124,2.6804,307.2
9000,0.000184,1.334390,1.870601,1.9251,2.6987,326.3
9500,0.000173,1.310326,1.878179,1.8904,2.7096,345.5
10000,0.000161,1.328992,1.862568,1.9173,2.6871,364.9
10500,0.000149,1.284936,1.875087,1.8538,2.7052,384.5
11000,0.000138,1.246275,1.873757,1.7980,2.7033,404.0
11500,0.000126,1.270746,1.878337,1.8333,2.7099,423.4
12000,0.000115,1.267284,1.861218,1.8283,2.6852,442.6
12500,0.000104,1.196313,1.865379,1.7259,2.6912,461.5
13000,0.000093,1.245741,1.859607,1.7972,2.6828,480.4
13500,0.000083,1.246415,1.853886,1.7982,2.6746,499.1
14000,0.000073,1.203475,1.856511,1.7362,2.6784,517.9
14500,0.000063,1.286465,1.840954,1.8560,2.6559,536.5
15000,0.000055,1.218009,1.848064,1.7572,2.6662,555.1
15500,0.000046,1.219276,1.850274,1.7590,2.6694,573.6
16000,0.000039,1.230442,1.852600,1.7752,2.6727,592.3
16500,0.000032,1.206832,1.843633,1.7411,2.6598,610.8
17000,0.000027,1.236624,1.850472,1.7841,2.6697,629.2
17500,0.000022,1.204517,1.849505,1.7378,2.6683,647.6
18000,0.000017,1.207366,1.849269,1.7419,2.6679,665.9
18500,0.000014,1.244018,1.847490,1.7947,2.6654,684.3
19000,0.000012,1.215872,1.845394,1.7541,2.6623,703.2
19500,0.000010,1.196765,1.848434,1.7266,2.6667,721.6
20000,0.000010,1.186683,1.849308,1.7120,2.6680,740.3
